feature1        feature2    feature3    break-even
13              33          9           1
2               16          6           0
14              32          3           1
13              25          9           1
13              23          8           1
23              51          9           1
13              27          7           1
1               16          2           0
18              34          3           1
7               22          3           1
10              17          7           1
22              21          1           1
2               12          4           0
27              26          2           1
6               15          4           0
10              21          7           1
