feature1        feature2    feature3    label
13              33          9           44
2               16          6           23
14              32          3           28
13              25          9           40
13              23          8           42
23              51          9           51
13              27          7           42
1               16          2           5
18              34          3           42
7               22          3           22
10              17          7           33
22              21          1           34
2               12          4           16
27              26          2           46
6               15          4           26
10              21          7           33
